title,review,name,rating
"Once Great, Now Ridiculous","For the first 8 seasons or so that it was on the air, ""The Simpsons"" was one of the greatest television shows of all time. Wonderfully developed characters, biting satire and top-notch writing made this cartoon a joy to watch. However, the show began to slide in season nine, and while it remained watchable through season ten or so, it has now become a shell of its former self. From about season 13 on, this formerly awesome show became the kind of ""entertainment"" it once parodied so well.,Several factors have contributed to the sorry drop in quality of the show. First, Homer's character has changed. He used to be a bumbling idiot, but had some good qualities. He has now morphed into a super-annoying, always in-your-face kind of moron. There is nothing likable about the new Homer. As for the other characters, Marge has become as morally bankrupt as Homer and is not likable either. Lisa, always a weak character, is now a little spokesperson for the Democratic Party. She spews out more propaganda than the ""Weekend Update"" no-talents on SNL. An eight-year old Buddhist? Come on! Bart has become less of a creative troublemaker, and is now more of a wimpy sidekick to Homer. The killing of Maude Flanders was inexcusable, and characters like Milhouse and Moe have become sometimes frighteningly weird (references to Milhouse-a ten year old boy-being gay and/or a cross dresser, for instance). Apu having all those kids was absurd. The shows now revolve around ""wild and crazy"" plots, with Homer constantly in the forefront. There is the constant, unnecessary use of blood and gore (Homer seems to always be cutting off something, and we are supposed to think it's funny). Also, the gratuitous use of guest stars is sickening. They are never funny, and serve only to promote and glorify themselves. ""The Simpsons"" used to poke fun at these pretentious celebrities. If this show stays on the air just a few more years, there will be more bad shows in syndication than good ones.,The DVD season-by-season sets are great, and really serve to remind us of how far this once incredible show has fallen. I'd advise everyone to buy these boxed sets and remember the great writing, inventive plots and brilliant characterizations that flourished during the first 8 seasons of the greatest cartoon series in history.",The Simpsons,4
The Simpsons rules!!! (episode spoilers),"The Simpsons, a town that was created from the humorous mind of Matt Groening in 1989, has now become a cult classic after an amazing 17 seasons, and it continues in fact they are making a film of the Simpson's due out in 2007. the Simpson's have been through a lot in their town, 17 tree houses of horror, the highest grossing episode ever, (bart gets an f) and 360 other mishaps which always seem to include famous voices, I don't care Futurama is nowhere near as good as this gem of a creation more laughs more characters and generally an all round good egg that is why I have decided to give this series a good solid 10 out of 10 because even after 378 episodes i find myself watching every last one over and over and over no matter how many times i see them",The Simpsons,8
Lost it's touch years ago,"I'd give a higher rating, but The Simpsons's died long time ago and should have ended when it had some dignity left. Now every episode seems like the same.,That said The Simpsons was solid stuff years ago. It was funny, touching and thought provoking. Best episode that comes to mind must be Bart gets an F (I hope that is the real name or this is really embarrassing).",The Simpsons,7
What The Hell?,"Surprised to see how low the rating is for this movie. I went to see this movie when I felt like giving up on life in the hope that it would help me feel better and it did. After watching I Feel Pretty I realized it's not about what happens in my life, but how I see it. Wonderful movie I love it",I Feel Pretty,10
Great for Girls' Night Out,"I am a middle-aged woman who saw this with my daughter and three daughters-in-law, in their 30s and 40s. We are all professional women and we all laughed hysterically through the entire movie. I don't understand the critics panning this. Perhaps they don't get that the general public needs to LAUGH these days.",I Feel Pretty,10
the absolute Best Cartoon ever!,"Out of every cartoon, Movie, play, and T.v show I've ever seen The Simpsons tops it all. the Simpsons is the funniest show Bar None. American Dad, Futurama, and Family guy come in close but in my opinion the Simpsons is better than all of them combined. I have seen every single episode and i own seasons one through five and have Simpsons posters and action figures.i have not found an episode that i did not like., some of my favorites are the valentines episode where Bart puts Homers Beer in the paint shakers, and ""Das Bus"" season 9 ""O' Brother were art Thou?"" season 2. and any episode from the sixteenth season. they have made it to over three hundred episodes and I'm betting on three hundred more. THE SIMPSONS WILL NEVER DIE!",The Simpsons,
Two Ends Of The Scale In One Show,"I think I know exactly what the majority of the people reading this interview are saying- ""5/10?? What the hell is going on here?! Has this guy lost his mind???!!"" I admit, it was quite a difficult rating to give, and not one that I imagine will go down particularly well. But the unfortunate fact about this review is that I can't just look at the show's ""Golden Age"" when it was widely considered to be one of the funniest television shows ever created, cartoon or otherwise. Nor can I talk about the almost inconceivable plummet in the show's standards over the past five or so years, though God knows I could talk about that for hours. I have to look at the whole series, from the very beginning to where we are now, and take the whole of The Simpsons into account, from the ingenious hilarity of the past to the staggeringly awful quality we have today.,First off, I should make it abundantly clear that to me, The Simpsons, from season one right up until season ten, was one of the funniest television shows ever to air, past, present and I strongly believe future. Creator Matt Groening, together with Sam Simon and James L. Brooks, should be very proud of the work they achieved with them. These seasons are simply incredibly, painfully, blood vessel-burstingly hilarious. Blessed with an incredibly talented and naturally comedic cast, nearly all of whom have stayed committed to the show since its beginning, it has been host to a huge amount of characters who are all brilliantly funny in their own unique, very original way. The jokes range from silly slapstick, all the way through to sharply satirical, and everything in between, and they are nothing short of fantastic. The sheer amount of hilarious quotes and one-liners The Simpsons has in these seasons is nearly unfathomable, and it's not mystery as to why people all over the world can quote them so easily. Truly, they have set the bar for not only television comedy, but comedy on a whole.,As well as this though, it never lost sight of the three-dimension of its characters. What makes it great is that we feel for all of them, and watching it, it never feels as though we're watching a cartoon comedy, because it engrosses us in the stories of the people in it, and because there really is so much depth to the characters and the stories that concern them as well as excellent comedy that they almost feel like real people. This of course is especially in the case of the Simpson family themselves, all of whom are excellent characters in these seasons, who have real emotional reactions and feelings, which makes their short-comings all the more relatable. The ability of the cast to convey these emotions as well as the comedy is remarkable, and has led to some truly touching and poignant moments over the seasons.,Once we move past the end of the tenth season, there is a definite drop in the quality of the show, though not a drastic one. The jokes are a little less funny, the characters somewhat wasted, and the stories aren't quite as intelligent and enjoyable as they used to be, however it is still excellent television and extremely funny. The cast are still as inspired as they always were, and despite the tragic loss of Phil Hartman by this time, which saw the loss of two excellent characters Troy McClure and Lionel Hutz among others, they are still displaying immense talent and understanding of an astronomical amount of characters.,Now, we come to the problem. The reason for the 5/10 rating. A truly heart-breaking moment in television history, because once we reach the fifteenth season, we see the standard of The Simpsons has dived. And it has dived pretty deeply. From this point of the show to where it is today, it's as if we are seeing a different show. The stories are moronic, the jokes are cringingly awful, exchanging intelligence and wit for silliness and humourless exclamations, and the characters are mutilated. The fact the animation has improved only emphasises the change, and all the guest-stars and guest writers in the world can't salvage this shipwreck.,The awful jokes and lack of good stories are bad enough, but the worst problem with The Simpsons today, is that the characters have been ruined. All of them were once three-dimensional, interesting and real, but they are all now nothing but background pictures, opportunities for jokes. And bad ones at that. My answer to the question that everyone asks about The Simpsons is my favourite character (other than Homer) is Sideshow Bob, but even one as hilarious as him can't seem to manage one good joke. The worst offence is of course ruining the Simpsons themselves. It started early on with Marge, who was given terrible jokes and pointless stories, and now has even spread to Maggie, who is also stuck with uninteresting, unfunny stories.,I don't fully understand how people can stop being funny. It doesn't sound like something that can just happen, but that is exactly what has happened to the writers of The Simpsons. The show that was once ground-breaking and ingenious is now pathetic, a tired old dog limping to the grave that it should have reached years ago. I may sound bitter, and in truth I am, because this was a truly spectacular, one-of-a-kind show, and now it will not be allowed to be put to rest. I love the Simpsons. I love the characters, I love the cast's performances and I love the stories. But that was quite a long time ago, when it deserved it. When it does eventually end, I will of course be extremely sad, but I will be more relieved that finally this great television programme can call it a day at last.",The Simpsons,5
Love it,"Love it. Love how women are portrayed. How women over 50 are badass and having great sex! Love the twists. Love having a committed gay couple. Love the diverse cast. Love, love, love.",I Feel Pretty,10
GREAT COMEDIC MOVIE!!,I have no idea why people are commenting negatively on this movie!! I went to see this movie with my mom and my friend and we were dying the whole time! We read all of the terrible reviews about this movie and debated going to see it. 10/10 movie. Amy was the perfect part for this role. I would definitely see it again.,I Feel Pretty,10
Excellent,"The Simpsons is one of the best TV shows of all times. It is a perfect mirror of the American culture and has many memorable moments that will always be remembered . I don't know anybody who doesn't like this show, it's impossible not to be a fan of it. You could watch each episode 20 times and never get tired, you will always find a new funny thing every time you watch it,Unfotunatley the show is getting worse and worse with every new season, Maybe it's time to let ""The Simpsons"" die with dignity before the audience starts to hate it.,My rating: 11/10",The Simpsons,
"Brilliant TV show, but newer episodes aren't funny","I really love The Simpsons, the 90's episodes are the best. I really liked it going up to season 13 but it started going downhill. But it really started going downhill after its 20th anniversary. ,The early episodes are excellent. There's no doubt about it. Some of the best episodes include Lisa's First Word, A Streetcar Named Marge, Hurricane Neddy, Homer's Odyssey and of course the episodes with Sideshow Bob in them. They had lots of laughs, were very entertaining and if you had a bad day, they would lighten you up.,After the tenth season, the quality started to decline. Although an episode originally aired in 2001, New Kids on the Blecch, I really enjoyed. Other episodes in seasons 11-13 I liked as well. But episodes in seasons 14-19 weren't as great. ,After its 20th anniversary, the series declined immensely. They had guest stars like Justin Bieber and Lady Gaga. Why!? The episodes from seasons 20 on aren't funny at all. The animation improved, that's the only thing good about it. I think it's time to wrap up the series altogether. It should have stopped after its 13th or 14th season.,I don't like the newer episodes at all, but I love the 90's episodes and the episodes in the very early 2000's. I love The Simpsons truly so I'm going to give it a 10/10.",The Simpsons,10
Great movie!,"I seriously don't get the horrible reviews on this movie! People are constantly hating on Amy and sometimes I feel like they have nothing better to do. I really enjoyed this movie! I thought it had such a good story line and it really spoke to me. I, as with many women, struggle with self esteem and this movie couldn't have shown a better representation of what it's like being on the average or less then average spectrum. It truly was an empowering movie for women and I respect Amy for playing this role. There wasn't a single quiet moment in the theatre tonight. Everyone was laughing!",I Feel Pretty,10
LOVE THIS MOVIE!,Great movie! I absolutely love anything Amy Schumer does! The movie is funny and heart warming! All of the negative reviews are just coming from people who get off on hating good comedy. Amy does nt deserve the hate. She is great!,I Feel Pretty,10
"Honest to god, is this what ""comedy"" has come to?","I saw a free screening and somehow still wanted my money back. This kind of self-indulgent crap is why people don't trust Hollywood comedies anymore. Not only is the cheesy message of this movie dishonest and singular to only one demographic of people, but it's a fairly obvious retread of Shallow Hal with a few key details changed. ,Replace Amy Schumer with literally anyone and it would be a little funnier, but not a whole lot, since the writing is so mediocre and predictable. ""Oh, it's what's on the INSIDE that counts! How did I not see it before?"" is the movie's realization, a message that had been beaten into the audience's head with a sledgehammer from minute one of the movie, but somehow it took this dense, unlikable, cringe-inducing protagonist an hour and a half of screen time to figure out. I laughed literally once during this film, when Schumer's character got her hair stuck in the stationary bike, which of course, is shown in the trailer. Was I laughing at the idea of Amy Schumer in pain, you ask? Possibly. Doesn't matter. Still counts as one laugh.,Just skip it. Go see Super Troopers 2 instead and support people that actually have some talent and couldn't get their movie funded by a production company, (which leaves me to wonder how this utter abortion of a film did). ST2 isn't groundbreaking, but at least I didn't leave it wanting my money back.",I Feel Pretty,1
Heads and Tails,"This show requires two reviews. On one side (season 1-9), we have a show that ranges from good to brilliant and, on the other (season 10+), we have a show that ranges from mediocre to absolutely atrocious.,Most of what went wrong has been stated by pretty much everyone who once loved The Simpsons. Today, it is nothing like what it started out as. It's now just a big dumb cartoon for big dumb people. The soul has been ripped out and replaced by a putrid cesspool. The only drive there is at all now—be it for the writers or for the voice actors—is MONEY. The Simpsons has a multitude of writers (many of them now long gone), so it's little wonder that it has such extremes in quality. Clearly, no-one in charge cares about the show anymore; if they did, it would have ended a long time ago. But let's not blame the cast and crew entirely, because DUMB people are still watching this drivel. Either that or stupidly 'loyal' fanboys being taken for a ride. Still, there is no doubt that, somewhere along the way, a decision was made to appeal to the lowest common denominator, thus targeting a wider demographic, instead of those with a higher intellect. It's tougher to write clever, heart-felt stories than to write childish, directionless crap. That's where we are today.,I differ with most people as to when the Simpsons started heading down hill. To me, it was season four. Season four is the first major departure from self contained, logically sound storytelling in favour of mindless slapstick (especially in regards to Homer's transformation from loving dad to crazy moron). Go and watch seasons one to three, and you'll notice that season four is where the main departure took place (although there are some warning signs of what is to come in seasons two and three, such as celebrity appearances and the odd episode with Homer acting like an idiot). I consider seasons one to three to have a 10/10 rating, and seasons four to nine to have an 8/10 rating. The difference to me is that in seasons one to three, the characters act and feel real. The situations are mostly realistic, people are behaving like people, and there is an emotional attachment to the characters. I still enjoy seasons four to nine but, in my opinion, they were heading in the wrong direction. ,After season nine, the show deteriorates before collapsing entirely. Here are some of the reasons:,1. Stories are now predominantly based on slapstick. Suspension of disbelief is impossible to maintain.,2. There is no structure to the stories. Episodes have become a vehicle for cheap jokes and predictable set-pieces. The audience is bombarded with them. Stories are no longer about anything—there is no message.,3. Pathetic celebrity appearances that are nothing more than an annoying ego-boosting exercise for those involved. The fact this hasn't abated, despite how obviously BAD it is, tells me a great deal about the people who now run The Simpsons.,4. Characters behaving totally abnormally and increasingly ridiculous. This is most noticeable with Homer, but occurs across the board. For example, Lisa is now a mouthpiece for the Left, and Chief Wiggum is the most ridiculous cop on earth.,5. Humour is no longer clever or based around a story; it's all just lame and chaotic.,6. All flash and no substance. Even the perfect intro has been replaced with a bloated monstrosity that illustrates perfectly where the problems lie: Flash and no substance, quantity and not quality, clean and lifeless animation (also less unique frames).,7. No direction or goal. Most ideas have already been realized.,8. Stories are no longer character driven.,It's disheartening to know that when The Simpsons finally ends, it will bring with it a huge sigh of relief, rather than sadness. Who would have thought that would be the case in the early '90s?",The Simpsons,1
